,GSM1276026,GSM1276027,GSM1276028,GSM1276029,GSM1276030,GSM1276031,GSM1276032,GSM1276033,GSM1276034,GSM1276035,GSM1276036,GSM1276037,GSM1276038,GSM1276039,GSM1276040,GSM1276041,GSM1276042,GSM1276043,GSM1276044,GSM1276045,GSM1276046,GSM1276047
SERPINA12,2.89193,3.02757,2.86149,2.83521,3.02548,2.99046,2.81172,3.06537,2.78266,3.04418,2.93674,2.70997,2.77049,2.92137,2.78231,2.85865,2.88942,2.82493,2.68905,2.8881,2.91871,3.19234
GSC,3.79191,3.56482,3.82111,3.43447,3.50294,3.68382,3.5871,3.73314,3.42397,3.56738,3.54684,3.05767,3.57634,3.75931,3.69244,3.55442,3.51259,3.4279,3.61726,3.61211,3.58001,3.73732
DICER1,8.08438,7.90439,8.38682,8.25333,8.11739,8.7023,7.90794,8.46857,8.37846,7.97921,8.08629,8.23179,7.83616,8.20755,8.14854,8.36207,8.1423,7.90712,7.8257,8.156,7.77786,8.21342
CLMN,5.30024,5.17702,5.40678,5.39932,5.19098,5.09896,5.2037,5.24067,5.40881,5.49006,5.28162,5.28592,5.17943,5.19748,5.50894,5.54267,5.74854,5.35419,5.04136,5.34045,5.51279,5.48146
LINC00341,5.58609,5.78149,5.80939,5.31467,5.62879,5.63803,5.72874,5.48182,5.61994,5.61497,5.49705,5.57323,5.77577,5.33264,5.5888,5.89015,5.63305,6.0561,5.58018,5.71716,5.60714,5.86283
C14orf49,5.88537,5.91728,5.81601,5.83972,5.97132,5.82797,5.85947,5.86852,5.928,5.99351,5.8658,5.94337,5.96373,5.82473,5.90459,5.99163,5.88463,5.98482,5.76255,6.01787,6.03218,6.00403
TCL1A,5.49818,5.53294,5.81243,5.56682,5.72988,5.40401,5.95475,5.17756,5.72988,6.60505,6.22485,6.1947,5.65215,5.70689,6.62626,6.01822,6.07945,6.90834,5.82308,5.32887,7.04145,6.14413
LOC100130815,2.94654,3.24511,2.87213,2.35715,2.9797,1.81866,2.68222,2.05113,2.39513,2.66204,2.59395,2.45352,2.21128,2.4469,2.27495,3.04975,2.74355,2.87276,2.54724,2.45608,2.27574,2.76541
ATG2B,6.153605,6.096395,6.2533,6.154175,6.06779,6.262415,6.052205,6.10125,6.12078,5.53395,6.04271,6.232455,5.906125,6.117135,5.88733,6.422715,5.91714,5.86768,6.004165,6.193455,5.894395,5.87461
LOC100129345,3.02606,3.0667,2.95074,3.08356,3.00431,2.96332,3.00857,2.92149,3.18848,2.80911,3.04155,3.04447,3.07861,2.84118,2.83619,3.01525,2.92322,2.98904,3.00737,2.9982,3.11366,3.00554
